"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Subsolar (deg)"
1 Jan 2020 00:00:00.000,255.114,-00.010,089.987
1 Jan 2020 00:01:00.000,255.142,000.925,090.922
1 Jan 2020 00:02:00.000,255.227,001.857,091.854
1 Jan 2020 00:03:00.000,255.370,002.781,092.778
1 Jan 2020 00:04:00.000,255.569,003.695,093.692
1 Jan 2020 00:05:00.000,255.825,004.595,094.592
1 Jan 2020 00:06:00.000,256.136,005.478,095.475
1 Jan 2020 00:07:00.000,256.502,006.339,096.337
1 Jan 2020 00:08:00.000,256.922,007.177,097.174
1 Jan 2020 00:09:00.000,257.395,007.986,097.984
1 Jan 2020 00:10:00.000,257.919,008.765,098.762
1 Jan 2020 00:11:00.000,258.492,009.510,099.507
1 Jan 2020 00:12:00.000,259.114,010.217,100.214
1 Jan 2020 00:13:00.000,259.781,010.884,100.882
1 Jan 2020 00:14:00.000,260.491,011.508,101.506
1 Jan 2020 00:15:00.000,261.242,012.087,102.084
1 Jan 2020 00:16:00.000,262.031,012.617,102.614
1 Jan 2020 00:17:00.000,262.855,013.096,103.093
1 Jan 2020 00:18:00.000,263.711,013.522,103.519
1 Jan 2020 00:19:00.000,264.595,013.893,103.890
1 Jan 2020 00:20:00.000,265.503,014.207,104.205
1 Jan 2020 00:21:00.000,266.432,014.463,104.461
1 Jan 2020 00:22:00.000,267.377,014.660,104.657
1 Jan 2020 00:23:00.000,268.333,014.796,104.794
1 Jan 2020 00:24:00.000,269.298,014.872,104.869
1 Jan 2020 00:25:00.000,270.266,014.885,104.883
1 Jan 2020 00:26:00.000,271.232,014.838,104.835
1 Jan 2020 00:27:00.000,272.193,014.729,104.726
1 Jan 2020 00:28:00.000,273.144,014.559,104.557
1 Jan 2020 00:29:00.000,274.080,014.330,104.327
1 Jan 2020 00:30:00.000,274.998,014.041,104.039
1 Jan 2020 00:31:00.000,275.893,013.695,103.693
1 Jan 2020 00:32:00.000,276.762,013.294,103.291
1 Jan 2020 00:33:00.000,277.601,012.838,102.836
1 Jan 2020 00:34:00.000,278.406,012.331,102.328
1 Jan 2020 00:35:00.000,279.174,011.774,101.772
1 Jan 2020 00:36:00.000,279.903,011.171,101.168
1 Jan 2020 00:37:00.000,280.590,010.522,100.520
1 Jan 2020 00:38:00.000,281.232,009.833,099.830
1 Jan 2020 00:39:00.000,281.827,009.105,099.102
1 Jan 2020 00:40:00.000,282.374,008.341,098.338
1 Jan 2020 00:41:00.000,282.869,007.545,097.542
1 Jan 2020 00:42:00.000,283.313,006.720,096.717
1 Jan 2020 00:43:00.000,283.704,005.869,095.866
1 Jan 2020 00:44:00.000,284.040,004.995,094.992
1 Jan 2020 00:45:00.000,284.321,004.103,094.100
1 Jan 2020 00:46:00.000,284.545,003.195,093.192
1 Jan 2020 00:47:00.000,284.713,002.274,092.272
1 Jan 2020 00:48:00.000,284.825,001.346,091.343
1 Jan 2020 00:49:00.000,284.878,000.412,090.409
1 Jan 2020 00:50:00.000,284.875,-00.523,089.474
1 Jan 2020 00:51:00.000,284.814,-01.457,088.541
1 Jan 2020 00:52:00.000,284.695,-02.385,087.613
1 Jan 2020 00:53:00.000,284.520,-03.303,086.694
1 Jan 2020 00:54:00.000,284.288,-04.210,085.788
1 Jan 2020 00:55:00.000,284.000,-05.100,084.897
1 Jan 2020 00:56:00.000,283.657,-05.971,084.027
1 Jan 2020 00:57:00.000,283.260,-06.818,083.179
1 Jan 2020 00:58:00.000,282.809,-07.640,082.357
1 Jan 2020 00:59:00.000,282.307,-08.432,081.565
1 Jan 2020 01:00:00.000,281.755,-09.192,080.806
1 Jan 2020 01:01:00.000,281.153,-09.915,080.082
1 Jan 2020 01:02:00.000,280.506,-10.600,079.398
1 Jan 2020 01:03:00.000,279.814,-11.242,078.755
1 Jan 2020 01:04:00.000,279.080,-11.840,078.157
1 Jan 2020 01:05:00.000,278.306,-12.391,077.607
1 Jan 2020 01:06:00.000,277.497,-12.891,077.106
1 Jan 2020 01:07:00.000,276.654,-13.340,076.657
1 Jan 2020 01:08:00.000,275.782,-13.735,076.263
1 Jan 2020 01:09:00.000,274.884,-14.073,075.924
1 Jan 2020 01:10:00.000,273.963,-14.354,075.643
1 Jan 2020 01:11:00.000,273.025,-14.576,075.421
1 Jan 2020 01:12:00.000,272.073,-14.738,075.259
1 Jan 2020 01:13:00.000,271.111,-14.839,075.158
1 Jan 2020 01:14:00.000,270.145,-14.879,075.118
1 Jan 2020 01:15:00.000,269.177,-14.858,075.140
1 Jan 2020 01:16:00.000,268.214,-14.775,075.223
1 Jan 2020 01:17:00.000,267.258,-14.631,075.367
1 Jan 2020 01:18:00.000,266.315,-14.426,075.571
1 Jan 2020 01:19:00.000,265.389,-14.163,075.834
1 Jan 2020 01:20:00.000,264.484,-13.841,076.156
1 Jan 2020 01:21:00.000,263.604,-13.463,076.534
1 Jan 2020 01:22:00.000,262.752,-13.030,076.967
1 Jan 2020 01:23:00.000,261.932,-12.545,077.452
1 Jan 2020 01:24:00.000,261.148,-12.009,077.988
1 Jan 2020 01:25:00.000,260.402,-11.425,078.573
1 Jan 2020 01:26:00.000,259.697,-10.795,079.202
1 Jan 2020 01:27:00.000,259.036,-10.123,079.874
1 Jan 2020 01:28:00.000,258.421,-09.411,080.586
1 Jan 2020 01:29:00.000,257.854,-08.662,081.335
1 Jan 2020 01:30:00.000,257.337,-07.879,082.118
1 Jan 2020 01:31:00.000,256.871,-07.066,082.931
1 Jan 2020 01:32:00.000,256.457,-06.226,083.772
1 Jan 2020 01:33:00.000,256.098,-05.361,084.636
1 Jan 2020 01:34:00.000,255.794,-04.477,085.520
1 Jan 2020 01:35:00.000,255.545,-03.575,086.422
1 Jan 2020 01:36:00.000,255.353,-02.660,087.337
1 Jan 2020 01:37:00.000,255.218,-01.734,088.263
1 Jan 2020 01:38:00.000,255.140,-00.802,089.195
1 Jan 2020 01:39:00.000,255.119,000.132,090.130
1 Jan 2020 01:40:00.000,255.156,001.067,091.064
1 Jan 2020 01:41:00.000,255.250,001.997,091.995
1 Jan 2020 01:42:00.000,255.401,002.920,092.918
1 Jan 2020 01:43:00.000,255.609,003.832,093.829
1 Jan 2020 01:44:00.000,255.873,004.729,094.727
1 Jan 2020 01:45:00.000,256.193,005.609,095.606
1 Jan 2020 01:46:00.000,256.567,006.467,096.464
1 Jan 2020 01:47:00.000,256.995,007.300,097.297
1 Jan 2020 01:48:00.000,257.476,008.105,098.102
1 Jan 2020 01:49:00.000,258.007,008.878,098.875
1 Jan 2020 01:50:00.000,258.588,009.617,099.614
1 Jan 2020 01:51:00.000,259.216,010.318,100.315
1 Jan 2020 01:52:00.000,259.889,010.979,100.976
1 Jan 2020 01:53:00.000,260.606,011.596,101.593
1 Jan 2020 01:54:00.000,261.363,012.167,102.164
1 Jan 2020 01:55:00.000,262.157,012.689,102.686
1 Jan 2020 01:56:00.000,262.986,013.160,103.157
1 Jan 2020 01:57:00.000,263.846,013.577,103.575
1 Jan 2020 01:58:00.000,264.734,013.940,103.937
1 Jan 2020 01:59:00.000,265.645,014.245,104.243
1 Jan 2020 02:00:00.000,266.576,014.492,104.490
1 Jan 2020 02:01:00.000,267.522,014.680,104.677
1 Jan 2020 02:02:00.000,268.480,014.807,104.804
1 Jan 2020 02:03:00.000,269.445,014.873,104.870
1 Jan 2020 02:04:00.000,270.413,014.877,104.875
1 Jan 2020 02:05:00.000,271.379,014.820,104.818
